ds,holiday,country,year
2020-01-01,Confraternização Universal,BR,2020
2020-02-25,Carnaval,BR,2020
2020-04-10,Paixão de Cristo,BR,2020
2020-04-21,Tiradentes,BR,2020
2020-05-01,Dia do Trabalho,BR,2020
2020-06-11,Corpus Christi,BR,2020
2020-09-07,Independência do Brasil,BR,2020
2020-10-12,Nossa Senhora Aparecida,BR,2020
2020-11-02,Finados,BR,2020
2020-11-15,Proclamação da República,BR,2020
2020-12-25,Natal,BR,2020
2021-01-01,Confraternização Universal,BR,2021
2021-02-16,Carnaval,BR,2021
2021-04-02,Paixão de Cristo,BR,2021
2021-04-21,Tiradentes,BR,2021
2021-05-01,Dia do Trabalho,BR,2021
2021-06-03,Corpus Christi,BR,2021
2021-09-07,Independência do Brasil,BR,2021
2021-10-12,Nossa Senhora Aparecida,BR,2021
2021-11-02,Finados,BR,2021
2021-11-15,Proclamação da República,BR,2021
2021-12-25,Natal,BR,2021
2022-01-01,Confraternização Universal,BR,2022
2022-03-01,Carnaval,BR,2022
2022-04-15,Paixão de Cristo,BR,2022
2022-04-21,Tiradentes,BR,2022
2022-05-01,Dia do Trabalho,BR,2022
2022-06-16,Corpus Christi,BR,2022
2022-09-07,Independência do Brasil,BR,2022
2022-10-12,Nossa Senhora Aparecida,BR,2022
2022-11-02,Finados,BR,2022
2022-11-15,Proclamação da República,BR,2022
2022-12-25,Natal,BR,2022
2023-01-01,Confraternização Universal,BR,2023
2023-02-21,Carnaval,BR,2023
2023-04-07,Paixão de Cristo,BR,2023
2023-04-21,Tiradentes,BR,2023
2023-05-01,Dia do Trabalho,BR,2023
2023-06-08,Corpus Christi,BR,2023
2023-09-07,Independência do Brasil,BR,2023
2023-10-12,Nossa Senhora Aparecida,BR,2023
2023-11-02,Finados,BR,2023
2023-11-15,Proclamação da República,BR,2023
2023-12-25,Natal,BR,2023
2024-01-01,Confraternização Universal,BR,2024
2024-02-13,Carnaval,BR,2024
2024-03-29,Paixão de Cristo,BR,2024
2024-04-21,Tiradentes,BR,2024
2024-05-01,Dia do Trabalho,BR,2024
2024-05-30,Corpus Christi,BR,2024
2024-09-07,Independência do Brasil,BR,2024
2024-10-12,Nossa Senhora Aparecida,BR,2024
2024-11-02,Finados,BR,2024
2024-11-15,Proclamação da República,BR,2024
2024-11-20,Dia Nacional de Zumbi e da Consciência Negra,BR,2024
2024-12-25,Natal,BR,2024
2025-01-01,Confraternização Universal,BR,2025
2025-03-04,Carnaval,BR,2025
2025-04-18,Paixão de Cristo,BR,2025
2025-04-21,Tiradentes,BR,2025
2025-05-01,Dia do Trabalho,BR,2025
2025-06-19,Corpus Christi,BR,2025
2025-09-07,Independência do Brasil,BR,2025
2025-10-12,Nossa Senhora Aparecida,BR,2025
2025-11-02,Finados,BR,2025
2025-11-15,Proclamação da República,BR,2025
2025-11-20,Dia Nacional de Zumbi e da Consciência Negra,BR,2025
2025-12-25,Natal,BR,2025
